Close,roi_5,candle_body_size,vol_change_1,vol_change_3,impulse,hour_0  -- 0.8994857281390821
Close,roi_5,vol_change_2,vol_change_3,impulse  -- 0.8993889409749509
Close,roi_5,roi_10,vol_change_2,impulse  -- 0.8993126582067772
Close,roi_10,vol_change_3,candle_size,hour_0  -- 0.8992849081762164
Close,roi_5,vol_change_2,vol_change_3,hour_0  -- 0.8992554558990544
Close,roi_10,vol_change_3,candle_size,impulse  -- 0.8992410756437385
Close,roi_5,roi_10,vol_change_2,hour_0  -- 0.8992191991536501
Close,roi_10,vol_change_1,vol_change_3,impulse,hour_0  -- 0.8989940985938775
Close,roi_5,roi_10,candle_body_size,candle_size,hour_0  -- 0.8989644382710844
Close,roi_5,roi_10,candle_body_size,candle_size,impulse  -- 0.8988731081068018
Close,roi_5,roi_10,candle_body_size,vol_change_1,impulse,hour_0  -- 0.8987017915339272
Close,roi_20,vol_change_1,candle_size,impulse,hour_0  -- 0.8986006753320456
Close,roi_5,candle_body_size,vol_change_3,candle_size,impulse,hour_0  -- 0.8985251818463108
Close,roi_20,candle_body_size,vol_change_3,impulse  -- 0.8984620136931608
Close,roi_20,candle_body_size,vol_change_3,hour_0  -- 0.8983253529029864
Close,roi_5,vol_change_2,vol_change_3,impulse,hour_0  -- 0.8982245990381876
Close,roi_5,roi_10,vol_change_2,impulse,hour_0  -- 0.8981858803488201
Close,roi_10,vol_change_3,candle_size,impulse,hour_0  -- 0.8980220222032547
Close,roi_10,roi_20,candle_body_size  -- 0.8977736836673849
Close,roi_5,roi_10,candle_body_size,candle_size,impulse,hour_0  -- 0.8977317399415965
Close,roi_20,candle_body_size,vol_change_3,impulse,hour_0  -- 0.8972626655786627
Close,roi_10,roi_20,candle_body_size,impulse  -- 0.896733573829501
Close,roi_10,roi_20,candle_body_size,hour_0  -- 0.8966602864729465
Close,roi_5,roi_20,vol_change_1  -- 0.8963231165984633
Close,roi_10,candle_body_size,vol_change_1,vol_change_2  -- 0.8963132907697473
Close,roi_5,roi_10,vol_change_3  -- 0.8960943270093571
Close,roi_10,candle_body_size,vol_change_2,candle_size  -- 0.8959843526723149
Close,candle_body_size,vol_change_1,vol_change_2,vol_change_3  -- 0.8957520801992779
Close,roi_10,roi_20,candle_body_size,impulse,hour_0  -- 0.8956227966684569
Close,roi_5,roi_20,candle_size  -- 0.8956154625111185
Close,candle_body_size,vol_change_2,vol_change_3,candle_size  -- 0.8953335343750718
Close,roi_5,roi_20,vol_change_1,impulse  -- 0.8952816736463156
Close,roi_10,candle_body_size,vol_change_1,vol_change_2,impulse  -- 0.8952777967176031
Close,roi_5,roi_20,vol_change_1,hour_0  -- 0.8952102592083483
Close,roi_10,candle_body_size,vol_change_1,vol_change_2,hour_0  -- 0.8951948780199521
Close,roi_5,roi_10,vol_change_3,impulse  -- 0.8950604994529852
Close,roi_5,roi_10,vol_change_3,hour_0  -- 0.8949132446349072
Close,roi_10,candle_body_size,vol_change_2,candle_size,hour_0  -- 0.8947988077509813
Close,candle_body_size,vol_change_1,vol_change_2,vol_change_3,impulse  -- 0.8947340728821964
Close,roi_10,candle_body_size,vol_change_2,candle_size,impulse  -- 0.89470958620124
Close,candle_body_size,vol_change_1,vol_change_2,vol_change_3,hour_0  -- 0.8945932028925128
Close,roi_5,roi_20,candle_size,hour_0  -- 0.8944423206438668
Close,roi_5,roi_20,candle_size,impulse  -- 0.8943366303961312
Close,roi_5,roi_20,vol_change_1,impulse,hour_0  -- 0.8941715205749798
Close,roi_10,candle_body_size,vol_change_1,vol_change_2,impulse,hour_0  -- 0.8941619864357032
Close,candle_body_size,vol_change_2,vol_change_3,candle_size,hour_0  -- 0.8941097539984032
Close,candle_body_size,vol_change_2,vol_change_3,candle_size,impulse  -- 0.8940745914727959
Close,roi_5,roi_10,vol_change_3,impulse,hour_0  -- 0.8938828790429245
Close,candle_body_size,vol_change_1,vol_change_2,vol_change_3,impulse,hour_0  -- 0.8935781561003291
Close,roi_10,candle_body_size,vol_change_2,candle_size,impulse,hour_0  -- 0.8935635929481047
Close,roi_5,vol_change_1,vol_change_2,candle_size  -- 0.8934817359984678
Close,roi_5,roi_20,candle_size,impulse,hour_0  -- 0.8932031155975483
Close,candle_body_size,vol_change_2,vol_change_3,candle_size,impulse,hour_0  -- 0.8928911312956098
Close,roi_10,candle_body_size,vol_change_1,vol_change_3  -- 0.8924675339150049
Close,roi_5,vol_change_1,vol_change_2,candle_size,hour_0  -- 0.8923077078115335
Close,roi_20,vol_change_1,vol_change_2  -- 0.8922451811266282
Close,roi_5,vol_change_1,vol_change_2,candle_size,impulse  -- 0.8922253093154506
Close,roi_20,candle_body_size,vol_change_1,candle_size  -- 0.8921623510685998
Close,roi_20,vol_change_2,candle_size  -- 0.8919223048715031
Close,roi_10,candle_body_size,vol_change_3,candle_size  -- 0.8917788294464334
Close,roi_5,candle_body_size,vol_change_2,vol_change_3  -- 0.8917287084658108
Close,roi_5,roi_10,candle_body_size,vol_change_2  -- 0.8916456160910864
Close,roi_10,candle_body_size,vol_change_1,vol_change_3,impulse  -- 0.8914320770681432
Close,roi_10,candle_body_size,vol_change_1,vol_change_3,hour_0  -- 0.8912899770900595
Close,roi_10,vol_change_2,vol_change_3  -- 0.891267583123588
Close,roi_20,vol_change_1,vol_change_2,impulse  -- 0.8911912383633492
Close,roi_20,vol_change_1,vol_change_2,hour_0  -- 0.8911266032659607
